meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0640389,0.0893086,0.135603,0.175703,0.210048,0.246575,0.288274,0.31695,0.353756,0.387502,0.417548,0.443541,0.464156,0.478469,0.488202,0.492109,0.496763,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.70136,0.883788,1.19327,1.40864,1.5647,1.72866,1.9297,2.05796,2.25467,2.44467,2.62759,2.79515,2.93596,3.041,3.11928,3.16029,3.20381,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0793497,0.0946119,0.1173,0.138412,0.158527,0.179237,0.201114,0.220315,0.242256,0.263187,0.283792,0.303441,0.321278,0.33579,0.347407,0.355898,0.363754,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.389698,0.458615,0.561063,0.669236,0.780246,0.899195,1.02792,1.1551,1.29408,1.43407,1.57292,1.70735,1.8335,1.9483,2.05148,2.14015,2.22051,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0124787,0.0150687,0.0187378,0.0223262,0.0261488,0.0305656,0.0356963,0.0409696,0.0471191,0.0536492,0.0603873,0.0671786,0.0737625,0.0798803,0.0854542,0.0902638,0.0946497,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0850122,0.102661,0.13454,0.175761,0.224917,0.281982,0.34644,0.415523,0.489765,0.567255,0.64459,0.720888,0.794317,0.863658,0.928746,0.988324,1.04195,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.97689,3.23516,3.79013,4.55544,5.43095,6.39978,7.48893,8.6896,10.0357,11.4898,13.0128,14.5713,16.1217,17.6226,19.0645,20.4072,21.6257,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.148913,0.159466,0.177759,0.201798,0.230377,0.260953,0.292757,0.328368,0.365654,0.403547,0.442862,0.482393,0.521313,0.556878,0.589434,0.619009,0.645055,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.473082,0.53886,0.631966,0.748401,0.881516,1.02796,1.18516,1.3632,1.54627,1.7368,1.92904,2.11814,2.3002,2.47335,2.63472,2.78333,2.91219,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258268,0.0306722,0.037066,0.0439907,0.0520205,0.0614823,0.0723731,0.0847858,0.0984979,0.113292,0.128597,0.144029,0.159083,0.173303,0.18637,0.198013,0.208137,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.441812,0.478477,0.540969,0.614442,0.685544,0.752627,0.815573,0.872668,0.92534,0.972596,1.01563,1.05424,1.08883,1.12086,1.1516,1.18121,1.20913,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,6.76078,6.5875,6.66619,6.9782,7.26635,7.51039,7.76336,8.0444,8.36495,8.69825,9.05923,9.42042,9.77236,10.1177,10.4624,10.7997,11.117,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.631246,0.731018,0.844196,0.95288,1.06757,1.19182,1.3239,1.46653,1.61512,1.76764,1.92251,2.07551,2.22333,2.36443,2.49805,2.62238,2.73477,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.0306932,0.0321921,0.0360226,0.0405737,0.0462032,0.0528516,0.0602776,0.0681788,0.0768918,0.0853068,0.0935552,0.101624,0.109621,0.117034,0.123989,0.130415,0.136367,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,Scavenging_Other,Dairy,Dairy,0.189169,0.35511,0.462481,0.532775,0.493309,0.43725,0.424752,0.437585,0.467461,0.506534,0.553136,0.611898,0.681941,0.751519,0.824488,0.900115,0.979754,1.05316,1.12198,1.18537,1.24333,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0219065,0.0431595,0.0601008,0.0629144,0.0792951,0.0982579,0.122441,0.147004,0.175098,0.208719,0.247525,0.291721,0.339597,0.389869,0.439996,0.488705,0.534421,0.575437,0.610626,0.639834,0.663744,Mt,
"Reference,date=2025-8-5T10:31:11-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.789637,1.1224,1.23967,1.49336,1.63918,1.78944,1.98827,2.21739,2.43712,2.62569,2.77463,2.9148,3.0126,3.08223,3.13633,3.17732,3.21222,3.24438,3.27747,3.31549,3.35161,Mt,
