meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.063974,0.0884584,0.132787,0.172091,0.206836,0.241644,0.280197,0.306621,0.338283,0.36501,0.382869,0.39215,0.396876,0.394523,0.389053,0.385811,0.382843,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.698467,0.870765,1.16201,1.37219,1.53042,1.6808,1.85865,1.97015,2.13074,2.27334,2.37512,2.43429,2.47256,2.46981,2.44812,2.44114,2.43285,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0791466,0.0945175,0.117335,0.139221,0.160477,0.182087,0.205061,0.22538,0.247998,0.268771,0.287328,0.303072,0.316697,0.325986,0.332172,0.337425,0.342016,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.389508,0.458907,0.561527,0.670937,0.784224,0.904891,1.03564,1.16456,1.30409,1.44179,1.57326,1.69551,1.80799,1.90514,1.98897,2.06455,2.13119,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0124763,0.0150679,0.0187302,0.0223524,0.0262479,0.0306901,0.0358361,0.0411207,0.0471911,0.0534976,0.0597244,0.0656589,0.0712831,0.0761756,0.0804241,0.0843789,0.0878101,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0855877,0.103066,0.134722,0.175424,0.224124,0.280397,0.34355,0.411456,0.484257,0.560234,0.635355,0.70948,0.781293,0.850464,0.916535,0.977405,1.03257,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.98723,3.23045,3.77388,4.52082,5.37401,6.31221,7.35825,8.51592,9.80945,11.2084,12.652,14.1341,15.628,17.1054,18.5462,19.9066,21.1408,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.148993,0.159228,0.178069,0.202774,0.231887,0.263429,0.296753,0.3342,0.373875,0.414473,0.456649,0.500172,0.544032,0.586896,0.627795,0.663677,0.696696,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.474162,0.540832,0.63531,0.752283,0.885951,1.03475,1.19544,1.37722,1.56681,1.76529,1.9708,2.18208,2.38907,2.59473,2.79117,2.96416,3.11927,Mt,
"Reference,date=2025-20-6T13:04:34-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258823,0.030751,0.0372016,0.0441569,0.0522368,0.06178,0.0727691,0.0853064,0.0991813,0.114111,0.129628,0.145409,0.160862,0.175652,0.189313,0.201458,0.212037,Mt,
