meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.063683,0.0892545,0.135158,0.17629,0.212144,0.248451,0.289196,0.315457,0.347375,0.373459,0.392659,0.404921,0.41081,0.410441,0.404274,0.397723,0.392814,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.697698,0.881141,1.18551,1.40622,1.56818,1.72539,1.91439,2.0227,2.1834,2.32252,2.43371,2.51065,2.55428,2.56237,2.53713,2.51035,2.49174,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0792585,0.0949414,0.118133,0.140443,0.162081,0.184301,0.207974,0.228459,0.250972,0.271403,0.290069,0.306969,0.321077,0.330813,0.336337,0.339948,0.343207,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.389433,0.459386,0.562666,0.673012,0.787145,0.908493,1.03963,1.16809,1.30659,1.44236,1.57334,1.69613,1.80741,1.90626,1.98863,2.05922,2.12212,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0124628,0.0150851,0.0187754,0.0224362,0.0263641,0.0308348,0.0360054,0.0412776,0.0473391,0.0536075,0.0598814,0.0659371,0.0715684,0.0766306,0.0809127,0.0846452,0.0879636,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0848402,0.102244,0.133682,0.174623,0.223827,0.280298,0.343727,0.412084,0.485791,0.562453,0.638341,0.712103,0.783115,0.851256,0.915757,0.975005,1.02833,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.97188,3.21393,3.75386,4.50355,5.36373,6.30192,7.34844,8.51096,9.81677,11.2294,12.6892,14.156,15.6122,17.0416,18.4333,19.7458,20.9378,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.148778,0.158759,0.177394,0.202116,0.231511,0.263291,0.296849,0.334788,0.374582,0.41538,0.457258,0.500301,0.542978,0.582534,0.619804,0.653316,0.683113,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.473137,0.538557,0.631846,0.748264,0.882077,1.02968,1.18843,1.37003,1.55952,1.75832,1.9621,2.16641,2.36759,2.56694,2.75974,2.9345,3.08862,Mt,
"Reference,date=2025-20-6T13:04:52-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258109,0.0306506,0.0370551,0.0440086,0.0521135,0.0616119,0.072531,0.0850654,0.0989915,0.11401,0.129592,0.145251,0.160553,0.175303,0.18905,0.201294,0.211934,Mt,
