meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0639863,0.0893462,0.134531,0.174906,0.210412,0.246071,0.285833,0.312079,0.34364,0.369795,0.389318,0.401662,0.407484,0.405999,0.398914,0.392127,0.386914,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.698451,0.878496,1.17633,1.39332,1.55565,1.71047,1.89537,2.00604,2.16676,2.30782,2.42194,2.50258,2.55001,2.55362,2.52421,2.49615,2.47567,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0791441,0.0946408,0.117557,0.139551,0.160915,0.182601,0.20554,0.225689,0.2479,0.26818,0.286869,0.303483,0.317224,0.326243,0.331164,0.334477,0.337441,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.389496,0.459215,0.562133,0.67192,0.785521,0.906355,1.0368,1.16513,1.30341,1.43944,1.57091,1.69432,1.80619,1.90315,1.98337,2.05262,2.1141,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.012477,0.0150907,0.0187639,0.0224016,0.0263107,0.0307666,0.035918,0.0411881,0.0472365,0.0535143,0.0598187,0.0659471,0.0716695,0.0766768,0.0808826,0.0845807,0.0878631,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0855784,0.103211,0.134944,0.175932,0.224906,0.2816,0.345432,0.413674,0.486984,0.563192,0.638585,0.712547,0.783736,0.851521,0.915617,0.974547,1.02754,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.98604,3.23059,3.77681,4.53003,5.38916,6.33548,7.39528,8.56299,9.86986,11.2815,12.739,14.2313,15.7225,17.1705,18.578,19.8994,21.0976,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.14898,0.158948,0.177754,0.202402,0.231524,0.263056,0.296323,0.333823,0.373236,0.413552,0.454979,0.497694,0.540017,0.579244,0.61627,0.649465,0.678961,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.474213,0.540206,0.634391,0.75107,0.884537,1.03309,1.19338,1.37531,1.56503,1.76391,1.96749,2.17368,2.37722,2.57799,2.77193,2.94693,3.10127,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258895,0.0307563,0.0371947,0.0441435,0.0522225,0.0617737,0.0727834,0.085346,0.0992837,0.114321,0.129935,0.145833,0.161447,0.176316,0.190142,0.202444,0.213143,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.441787,0.478723,0.541164,0.614645,0.686172,0.753495,0.816164,0.87268,0.924868,0.969831,1.00951,1.04377,1.0742,1.10489,1.13406,1.16184,1.18873,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,6.73594,6.54573,6.62527,6.93497,7.21754,7.45374,7.69404,7.96189,8.26851,8.57655,8.89701,9.21428,9.52871,9.85675,10.1855,10.5068,10.8151,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.631655,0.732108,0.846443,0.955802,1.07151,1.19736,1.33102,1.47531,1.6263,1.7797,1.93504,2.08903,2.23861,2.38481,2.52408,2.65251,2.76936,Mt,
"Reference,date=2025-20-6T13:04:38-07:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.0306603,0.0319405,0.0358835,0.0405026,0.046116,0.0527763,0.0603013,0.0684397,0.077051,0.0853483,0.0933868,0.10138,0.109084,0.115958,0.122519,0.128598,0.134233,Mt,
