meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0639863,0.089103,0.134726,0.174381,0.209042,0.244882,0.285248,0.313691,0.34943,0.382388,0.411736,0.436923,0.456947,0.469742,0.47584,0.477082,0.478892,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.698451,0.878023,1.18091,1.39355,1.55229,1.71084,1.90249,2.02894,2.21771,2.40144,2.57669,2.73932,2.87642,2.97119,3.02628,3.05012,3.075,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0791441,0.0943033,0.116866,0.13797,0.158239,0.17874,0.200191,0.219551,0.241453,0.262509,0.28327,0.302939,0.320468,0.334548,0.345011,0.352469,0.359102,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.389496,0.458393,0.56081,0.669026,0.780575,0.899606,1.02807,1.15597,1.29545,1.43603,1.57555,1.71036,1.83728,1.95173,2.05152,2.13668,2.21294,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.012477,0.0150659,0.0187306,0.0223206,0.0261691,0.0305977,0.0357348,0.0410559,0.0472515,0.0538339,0.060647,0.0675343,0.0742368,0.0804134,0.0858976,0.0906037,0.0948446,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0855784,0.103497,0.135707,0.177111,0.226473,0.284243,0.349709,0.419091,0.493589,0.570871,0.647817,0.724942,0.799198,0.868786,0.933874,0.992953,1.04583,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.98604,3.24694,3.80725,4.57447,5.44983,6.42651,7.5287,8.72714,10.0672,11.5056,12.9998,14.5717,16.1327,17.6282,19.0631,20.3888,21.5827,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.14898,0.159507,0.178076,0.202284,0.230843,0.261558,0.293548,0.329331,0.366593,0.404427,0.443396,0.483703,0.522324,0.55778,0.590703,0.620317,0.646052,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.474213,0.540589,0.634736,0.751699,0.885103,1.03352,1.19364,1.37346,1.5592,1.7517,1.9457,2.13894,2.3256,2.50389,2.67215,2.82557,2.95897,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258895,0.0307667,0.0372101,0.0441629,0.0522311,0.0618223,0.0729116,0.0855016,0.0994591,0.114474,0.130042,0.145943,0.161505,0.17624,0.189851,0.201883,0.212331,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.441787,0.478525,0.540968,0.614238,0.685363,0.752236,0.814384,0.870265,0.921474,0.967194,1.00811,1.04403,1.07604,1.10532,1.13265,1.15945,1.1848,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,6.73594,6.55876,6.63929,6.95239,7.24038,7.47894,7.72184,7.98952,8.293,8.6088,8.9407,9.27938,9.60902,9.92698,10.2391,10.5486,10.8394,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.631655,0.731507,0.844974,0.95374,1.06872,1.19378,1.32662,1.46972,1.61898,1.77174,1.92622,2.07934,2.22755,2.36899,2.50265,2.62684,2.73908,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.0306603,0.0321164,0.0360002,0.0405199,0.0460397,0.0526654,0.0600666,0.0680332,0.0765693,0.0847737,0.0927613,0.100934,0.108736,0.115886,0.122625,0.128801,0.13445,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,Scavenging_Other,Dairy,Dairy,0.189169,0.35511,0.462481,0.532775,0.488491,0.431899,0.421672,0.435303,0.464164,0.502671,0.548686,0.608199,0.67575,0.742687,0.811764,0.888776,0.964409,1.03341,1.09927,1.15953,1.21311,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0219065,0.0431595,0.0601008,0.0629144,0.0794815,0.0985613,0.122923,0.147592,0.175852,0.209992,0.24959,0.294768,0.343927,0.395438,0.44713,0.497832,0.54547,0.588572,0.625911,0.656551,0.681629,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,Beef,Beef,0.789637,1.1224,1.23967,1.49336,1.6387,1.78892,1.98888,2.21808,2.43678,2.62443,2.7704,2.90602,2.99842,3.06264,3.10915,3.13985,3.16218,3.18378,3.20701,3.23704,3.26619,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,Dairy,Dairy,6.1079,10.6697,10.8832,9.74697,12.0906,14.5513,17.3472,20.1542,22.9824,25.7449,28.2911,30.7781,32.9082,34.682,36.1456,37.2881,38.1611,38.8286,39.2931,39.6384,39.878,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Pastoral,Pasture_FodderGrass,SheepGoat,SheepGoat,0.200072,0.328488,0.346608,0.27254,0.328241,0.38695,0.455089,0.520508,0.590256,0.667134,0.749243,0.837658,0.929188,1.02208,1.11486,1.20573,1.29266,1.37464,1.45097,1.52078,1.58308,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Beef,Beef,0.0415631,0.0590743,0.065243,0.078597,0.0962174,0.111508,0.133138,0.15608,0.182957,0.213338,0.244373,0.278896,0.311359,0.339745,0.364807,0.388442,0.408874,0.425656,0.4399,0.451657,0.460925,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Pastoral,Scavenging_Other,Dairy,Dairy,0.321377,0.561478,0.572911,0.512998,0.697966,0.918533,1.20627,1.51561,1.88125,2.31515,2.79588,3.33505,3.87764,4.39352,4.86188,5.27844,5.62587,5.89576,6.08313,6.19593,6.25608,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Eastern,Pastoral,Scavenging_Other,SheepGoat,SheepGoat,0.0222303,0.0365081,0.0384952,0.0302598,0.0385497,0.0482335,0.0606761,0.0732979,0.0877821,0.105315,0.125641,0.148811,0.1739,0.200071,0.226177,0.251601,0.275328,0.296662,0.314995,0.329905,0.342002,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FeedCrops,Beef,Beef,0.100454,0.165636,0.214497,0.262171,0.291266,0.330457,0.373211,0.422144,0.473853,0.52557,0.577147,0.624858,0.672865,0.717362,0.756293,0.791159,0.821222,0.8458,0.865222,0.876673,0.884835,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FeedCrops,Dairy,Dairy,0.956966,2.20216,2.76867,3.09828,3.51358,3.94561,4.45195,4.95644,5.44041,5.88097,6.30134,6.66451,7.0339,7.35314,7.6141,7.83673,8.00265,8.10758,8.1586,8.13056,8.08211,Mt,
"Reference,date=2025-20-6T13:04:46-07:00",Africa_Northern,Mixed,FeedCrops,Pork,Pork,0.0010405,8.75651E-4,4.68702E-4,3.41093E-4,3.68151E-4,4.31995E-4,4.83792E-4,5.27991E-4,5.66601E-4,5.9075E-4,6.02298E-4,6.06052E-4,6.07158E-4,6.04444E-4,6.00478E-4,5.8976E-4,5.72252E-4,5.51964E-4,5.29738E-4,5.0501E-4,4.81794E-4,Mt,
