meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0640268,0.088416,0.133813,0.172835,0.206435,0.241996,0.282097,0.310563,0.346924,0.38085,0.40842,0.429889,0.447964,0.458996,0.467546,0.476201,0.481877,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.701379,0.875987,1.1785,1.38699,1.539,1.69767,1.8892,2.01576,2.20906,2.39821,2.56264,2.69935,2.82092,2.90381,2.97164,3.04059,3.08854,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0793522,0.0944913,0.117069,0.138064,0.158064,0.178665,0.200502,0.219689,0.241841,0.263137,0.283388,0.302052,0.319212,0.333214,0.345151,0.356089,0.365235,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.38971,0.458315,0.560449,0.668239,0.778921,0.897622,1.02635,1.15379,1.2935,1.43482,1.57314,1.70559,1.83174,1.94502,2.04868,2.14386,2.2268,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.012478,0.0150465,0.0187041,0.0222772,0.0260862,0.0304868,0.035601,0.0408757,0.0470271,0.053574,0.0602234,0.0667894,0.0732357,0.0791458,0.0845975,0.0896828,0.0940907,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0850215,0.102513,0.134308,0.175245,0.224134,0.280798,0.344576,0.413388,0.487107,0.564341,0.641474,0.717987,0.791828,0.862342,0.929337,0.99142,1.04755,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.97808,3.23505,3.78709,4.54605,5.41565,6.37666,7.45264,8.64381,9.97669,11.418,12.925,14.4778,16.0229,17.5483,19.0247,20.4204,21.6913,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.148925,0.159763,0.178063,0.202136,0.230696,0.261286,0.293262,0.328705,0.366212,0.404368,0.444251,0.48509,0.524562,0.563078,0.599366,0.632415,0.662938,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.473031,0.539495,0.63288,0.749604,0.882923,1.02967,1.18743,1.36564,1.54878,1.7391,1.93356,2.1282,2.31432,2.49365,2.65984,2.80664,2.93849,Mt,
"Reference,date=2025-20-6T13:04:51-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258196,0.0306685,0.0370732,0.0440046,0.0520363,0.0614933,0.0723692,0.0847676,0.0984239,0.113126,0.128379,0.143745,0.158663,0.172859,0.185842,0.1974,0.207511,Mt,
