meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0629776,0.0861989,0.127928,0.162733,0.192074,0.222689,0.257289,0.280414,0.307177,0.328129,0.341311,0.351587,0.356917,0.358709,0.359664,0.357934,0.359746,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.687314,0.846986,1.11243,1.28651,1.41185,1.54373,1.71214,1.8145,1.96184,2.09178,2.18432,2.27565,2.33558,2.37256,2.39911,2.41274,2.43674,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0791524,0.094517,0.117236,0.13842,0.158675,0.179393,0.201679,0.221246,0.243611,0.265606,0.286393,0.307331,0.326412,0.341764,0.354371,0.364035,0.37249,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.389159,0.458305,0.560785,0.669095,0.78054,0.899746,1.0296,1.15788,1.29829,1.4414,1.58178,1.7201,1.8496,1.9655,2.06891,2.15833,2.23817,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.012457,0.0150486,0.018724,0.0223284,0.026172,0.0305948,0.0357546,0.041061,0.0472273,0.0538134,0.0605156,0.0673047,0.0738143,0.0797132,0.0850755,0.0896831,0.0938981,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0848867,0.10207,0.133178,0.172867,0.219483,0.272782,0.331078,0.393621,0.457425,0.519316,0.577672,0.630443,0.678864,0.725086,0.770009,0.810499,0.852243,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.96225,3.19489,3.70738,4.41422,5.2231,6.11414,7.10727,8.19759,9.3875,10.6256,11.8578,13.0879,14.2559,15.403,16.5134,17.585,18.6016,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.148912,0.15974,0.177967,0.201955,0.230523,0.261094,0.293092,0.329227,0.367335,0.406909,0.448103,0.490266,0.53258,0.573019,0.611093,0.646979,0.67843,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.473391,0.539563,0.632932,0.749796,0.88359,1.0312,1.18952,1.3696,1.55634,1.75253,1.9546,2.15288,2.34572,2.53073,2.70251,2.86097,2.9983,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258271,0.0306829,0.0371043,0.0440824,0.052172,0.0617002,0.0726527,0.0851912,0.0990641,0.114117,0.129856,0.145585,0.160922,0.175338,0.188604,0.20036,0.210684,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.440559,0.475311,0.533558,0.60093,0.665118,0.724767,0.778354,0.826702,0.866823,0.896731,0.919045,0.936412,0.951079,0.967096,0.984612,1.00276,1.02441,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,6.71841,6.50037,6.49748,6.72412,6.94767,7.14181,7.35619,7.58669,7.84464,8.09619,8.32845,8.58468,8.81987,9.0717,9.32325,9.60499,9.87081,Mt,
"Reference,date=2025-8-6T12:58:36-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.631042,0.731116,0.844047,0.952769,1.06781,1.19289,1.32676,1.47133,1.62357,1.78219,1.94389,2.10563,2.26313,2.41329,2.55378,2.68597,2.80296,Mt,
