meat and dairy production by tech
scenario,region,subsector,technology,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FeedCrops,Beef,Beef,0.0123841,0.0184554,0.0255638,0.0384381,0.0634769,0.0866946,0.128284,0.163096,0.192446,0.22363,0.259073,0.282333,0.309824,0.331234,0.344873,0.355051,0.360075,0.361709,0.36371,0.362073,0.364329,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FeedCrops,Dairy,Dairy,0.223711,0.331765,0.415734,0.460871,0.692758,0.85219,1.11668,1.29203,1.41906,1.55624,1.73168,1.83545,1.98848,2.12241,2.21912,2.31171,2.37161,2.40869,2.44368,2.45759,2.48282,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FeedCrops,Pork,Pork,0.0199811,0.0340869,0.0479256,0.0631631,0.0793532,0.0946306,0.117213,0.138318,0.158514,0.179326,0.201755,0.221137,0.243668,0.265639,0.286453,0.306979,0.325259,0.340395,0.353501,0.363582,0.372701,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FeedCrops,Poultry,Poultry,0.171982,0.171075,0.233658,0.320841,0.3897,0.458564,0.560626,0.668607,0.779625,0.898787,1.0287,1.15656,1.29672,1.4389,1.57811,1.71471,1.84255,1.9574,2.06218,2.1521,2.23284,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FeedCrops,SheepGoat,SheepGoat,0.004639,0.0079984,0.0102357,0.0097769,0.0124815,0.0150647,0.018723,0.0223136,0.0261406,0.0305639,0.0357276,0.0409994,0.0471273,0.0536171,0.0601667,0.0667765,0.0730974,0.0788687,0.0842436,0.0888289,0.0930581,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Beef,Beef,0.0102537,0.0260894,0.0412998,0.0712015,0.0849463,0.102193,0.13333,0.172958,0.219393,0.272576,0.330799,0.393019,0.456271,0.517225,0.574571,0.626875,0.674771,0.721078,0.766348,0.806974,0.849053,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Dairy,Dairy,0.908659,1.79915,2.36671,2.7535,2.96425,3.19989,3.71542,4.42574,5.2379,6.13412,7.1347,8.22488,9.41281,10.6414,11.8643,13.0983,14.2694,15.4307,16.5648,17.6431,18.6615,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Pork,Pork,0.0819887,0.107269,0.126895,0.142714,0.148907,0.159824,0.178129,0.202132,0.230771,0.26142,0.293528,0.329206,0.367315,0.406537,0.447547,0.489425,0.530491,0.570998,0.609236,0.645683,0.67801,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,Poultry,Poultry,0.241393,0.284119,0.329694,0.423789,0.47305,0.539316,0.632793,0.749358,0.882577,1.0292,1.18622,1.36481,1.54874,1.74076,1.93772,2.13219,2.32138,2.50393,2.67248,2.82933,2.96496,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,FodderHerb_Residue,SheepGoat,SheepGoat,0.006259,0.0134626,0.0196109,0.0214391,0.0258312,0.030688,0.037102,0.0440518,0.0520987,0.0615736,0.0724518,0.0848474,0.0984854,0.11313,0.128285,0.143484,0.158265,0.172302,0.185265,0.196826,0.207016,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Beef,Beef,0.0849829,0.167223,0.251046,0.4115,0.44043,0.475167,0.533394,0.600849,0.665136,0.725045,0.779104,0.828535,0.869852,0.90166,0.9274,0.947686,0.965152,0.98327,1.00259,1.02208,1.04509,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,Dairy,Dairy,2.45641,4.62136,6.03198,6.96381,6.71637,6.50088,6.50226,6.73727,6.97027,7.1729,7.39704,7.63981,7.91169,8.18344,8.45092,8.7406,9.00987,9.28733,9.56378,9.85974,10.1334,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,Pasture_FodderGrass,SheepGoat,SheepGoat,0.185966,0.366499,0.510336,0.533611,0.630955,0.730865,0.843553,0.951929,1.06673,1.19156,1.32517,1.4696,1.62128,1.77893,1.9402,2.10188,2.25966,2.41038,2.55153,2.68433,2.80164,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,Scavenging_Other,Beef,Beef,0.0056677,0.011149,0.016734,0.02743,0.030674,0.0321195,0.0355429,0.0394897,0.0443279,0.0500294,0.0562735,0.0626826,0.0694663,0.0752703,0.0803028,0.0850166,0.0892239,0.0937406,0.0984735,0.103091,0.10814,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,Scavenging_Other,Dairy,Dairy,0.189169,0.35511,0.462481,0.532775,0.491535,0.435902,0.417197,0.42376,0.447709,0.480688,0.521567,0.569984,0.629247,0.685006,0.738767,0.796252,0.851192,0.911465,0.973016,1.03548,1.09645,Mt,
"Reference,date=2025-8-6T12:58:42-07:00",Africa_Eastern,Mixed,Scavenging_Other,SheepGoat,SheepGoat,0.0219065,0.0431595,0.0601008,0.0629144,0.0793082,0.0983111,0.122577,0.147261,0.175428,0.209078,0.247813,0.291865,0.339434,0.389218,0.438933,0.486949,0.531824,0.572459,0.607625,0.636902,0.661433,Mt,
